iter	Passed	Remaining
542	6190	5210
543	6201	5198
544	6212	5186
545	6222	5174
546	6233	5162
547	6245	5150
548	6255	5138
549	6266	5127
550	6277	5115
551	6288	5103
552	6299	5092
553	6310	5080
554	6321	5068
555	6332	5057
556	6344	5045
557	6356	5034
558	6367	5023
559	6378	5011
560	6389	5000
561	6400	4988
562	6412	4977
563	6423	4965
564	6434	4953
565	6446	4942
566	6457	4931
567	6466	4918
568	6478	4907
569	6488	4894
570	6499	4883
571	6510	4871
572	6521	4859
573	6532	4848
574	6543	4836
575	6553	4824
576	6564	4812
577	6576	4801
578	6587	4789
579	6598	4778
580	6608	4765
581	6618	4753
582	6629	4741
583	6641	4730
584	6651	4718
585	6663	4707
586	6674	4696
587	6686	4684
588	6696	4672
589	6707	4660
590	6717	4648
591	6728	4637
592	6739	4625
593	6750	4613
594	6761	4602
595	6772	4591
596	6784	4579
597	6794	4567
598	6805	4556
599	6816	4544
600	6827	4532
601	6839	4521
602	6849	4509
603	6860	4497
604	6870	4485
605	6880	4473
606	6891	4461
607	6902	4450
608	6918	4442
609	6933	4432
610	6945	4422
611	6957	4410
612	6968	4399
613	6978	4387
614	6989	4375
615	7001	4364
616	7012	4352
617	7022	4341
618	7033	4329
619	7045	4317
620	7056	4306
621	7068	4295
622	7079	4284
623	7090	4272
624	7102	4261
625	7114	4250
626	7125	4238
627	7136	4227
628	7147	4215
629	7158	4204
630	7169	4192
631	7179	4180
632	7190	4168
633	7201	4157
634	7211	4145
635	7222	4133
636	7233	4121
637	7243	4110
638	7254	4098
639	7265	4086
640	7276	4075
641	7287	4063
642	7298	4052
643	7309	4040
644	7320	4028
645	7331	4017
646	7341	4005
647	7351	3993
648	7362	3981
649	7373	3970
650	7383	3958
651	7394	3946
652	7404	3934
653	7415	3923
654	7426	3911
655	7437	3900
656	7448	3888
657	7460	3877
658	7470	3865
659	7482	3854
660	7492	3842
661	7503	3830
662	7514	3819
663	7525	3807
664	7535	3796
665	7546	3784
666	7557	3773
667	7569	3761
668	7579	3750
669	7590	3738
670	7601	3727
671	7612	3715
672	7623	3704
673	7633	3692
674	7645	3681
675	7657	3670
676	7667	3658
677	7678	3646
678	7688	3634
679	7699	3623
680	7710	3611
681	7722	3600
682	7733	3589
683	7744	3577
684	7755	3566
685	7765	3554
686	7777	3543
687	7788	3532
688	7798	3520
689	7810	3508
690	7821	3497
691	7832	3486
692	7842	3474
693	7853	3462
694	7864	3451
695	7876	3440
696	7887	3428
697	7898	3417
698	7909	3405
699	7921	3394
700	7932	3383
701	7943	3371
702	7954	3360
703	7965	3349
704	7976	3337
705	7987	3326
706	7998	3314
707	8009	3303
708	8019	3291
709	8030	3280
710	8041	3268
711	8053	3257
712	8063	3245
713	8074	3234
714	8084	3222
715	8096	3211
716	8106	3199
717	8116	3187
718	8128	3176
719	8140	3165
720	8151	3154
721	8163	3143
722	8174	3131
723	8185	3120
724	8197	3109
725	8209	3098
726	8220	3086
727	8231	3075
728	8242	3064
729	8253	3052
730	8264	3041
731	8275	3029
732	8286	3018
733	8297	3007
734	8309	2995
735	8320	2984
736	8331	2973
737	8343	2961
738	8355	2950
739	8366	2939
740	8377	2928
741	8389	2917
742	8400	2905
743	8411	2894
744	8422	2883
745	8434	2871
746	8446	2860
747	8456	2849
748	8467	2837
749	8477	2825
750	8488	2814
751	8498	2802
752	8510	2791
753	8522	2780
754	8533	2768
755	8543	2757
756	8554	2745
757	8565	2734
758	8576	2723
759	8586	2711
760	8598	2700
761	8610	2689
762	8621	2677
763	8632	2666
764	8644	2655
765	8655	2644
766	8667	2632
767	8678	2621
768	8689	2610
769	8700	2598
770	8711	2587
771	8721	2575
772	8732	2564
773	8743	2552
774	8754	2541
775	8766	2530
776	8777	2519
777	8787	2507
778	8798	2496
779	8810	2485
780	8821	2473
781	8832	2462
782	8844	2451
783	8855	2439
784	8865	2428
785	8877	2417
786	8888	2405
787	8900	2394
788	8912	2383
789	8922	2371
790	8934	2360
791	8945	2349
792	8955	2337
793	8966	2326
794	8978	2315
795	8988	2303
796	8999	2292
797	9010	2280
798	9021	2269
799	9031	2257
800	9043	2246
801	9053	2235
802	9065	2223
803	9076	2212
804	9086	2201
805	9098	2189
806	9109	2178
807	9120	2167
808	9131	2155
809	9142	2144
810	9153	2133
811	9164	2121
812	9175	2110
813	9186	2099
814	9198	2087
815	9209	2076
816	9221	2065
